0.153425 6175.00 1518.2000
0.153425 6550.00 1205.4000
0.153425 6925.00 846.0000
0.153425 7300.00 502.6500
0.153425 7700.00 192.5000
0.153425 8090.00 34.6500
0.153425 8475.00 3.7500
0.153425 8850.00 0.8750
0.230137 6150.00 1620.5000
0.230137 6550.00 1235.6500
0.230137 6925.00 885.1000
0.230137 7300.00 551.2500
0.230137 7705.00 242.8500
0.230137 8090.00 67.8000
0.230137 8475.00 12.3500
0.230137 8850.00 2.7750
0.230137 9200.00 1.0500
0.345205 7600.00 392.8500
0.345205 7790.00 268.5000
0.345205 8100.00 120.6000
0.345205 8475.00 35.3500
0.345205 8800.00 10.8000
0.345205 9200.00 3.1000
0.479452 6100.00 1758.6500
0.479452 6550.00 1344.1500
0.479452 6925.00 1011.4500
0.479452 7325.00 679.0000
0.479452 7700.00 405.5500
0.479452 8100.00 187.9500
0.479452 8475.00 74.0500
0.479452 8850.00 25.2000
0.479452 9200.00 8.8500
0.726027 6100.00 1855.6000
0.726027 6575.00 1430.0000
0.726027 6925.00 1135.0000
0.726027 7325.00 818.0500
0.726027 7700.00 551.5000
0.726027 8100.00 317.9500
0.726027 8475.00 166.5000
0.726027 8850.00 79.1500
0.726027 9200.00 36.7000
1.013699 7075.00 1155.0000
1.013699 7325.00 966.0000
1.013699 7750.00 672.5500
1.013699 7950.00 549.4500
1.013699 8400.00 318.8500
1.323288 7700.00 857.7500
1.323288 8000.00 672.1500
1.323288 8700.00 330.2000
1.323288 9200.00 177.7500
