0.019178 6500.00 1188.6000
0.019178 6900.00 788.9000
0.019178 7295.00 393.7000
0.019178 7675.00 61.8500
0.019178 8060.00 0.5500
0.019178 8450.00 0.1500
0.084932 6500.00 1205.2000
0.084932 7500.00 255.4500
0.084932 7675.00 128.1000
0.084932 8050.00 8.6500
0.084932 8400.00 0.9000
0.153425 6525.00 1040.8000
0.153425 6910.00 837.9500
0.153425 7675.00 193.8000
0.153425 8060.00 35.4000
0.153425 8440.00 4.0500
0.153425 8850.00 0.7750
0.230137 6525.00 1327.5000
0.230137 6910.00 920.3000
0.230137 7295.00 532.3000
0.230137 7675.00 248.5000
0.230137 8060.00 70.2000
0.230137 8450.00 12.4500
0.230137 8850.00 2.4500
0.479452 6525.00 1431.7000
0.479452 6900.00 1012.5500
0.479452 7300.00 680.7500
0.479452 7675.00 405.7000
0.479452 8050.00 198.6000
0.479452 8450.00 73.6500
0.479452 8850.00 23.2000
1.013699 6500.00 1590.0000
1.013699 7000.00 1191.0000
1.013699 7325.00 945.0000
1.013699 7700.00 686.1000
1.013699 8050.00 478.4000
1.013699 8400.00 305.5000
1.013699 8900.00 145.1500
