0.153425 6525.00 1040.8000
0.153425 6900.00 833.8500
0.153425 7300.00 472.7000
0.153425 7670.00 191.8500
0.153425 8050.00 36.6500
0.153425 8450.00 3.7500
0.153425 8700.00 1.2750
0.230137 6550.00 1199.9500
0.230137 6925.00 853.3500
0.230137 7275.00 546.4500
0.230137 7675.00 241.6500
0.230137 8050.00 71.2000
0.230137 8450.00 12.0000
0.230137 8800.00 2.8250
0.479452 6500.00 1359.0500
0.479452 6900.00 1005.0500
0.479452 7275.00 692.8000
0.479452 7675.00 402.0500
0.479452 8050.00 195.8000
0.479452 8450.00 71.9000
0.479452 8800.00 25.8000
1.013699 7075.00 1128.0000
1.013699 7325.00 936.0000
1.013699 7750.00 649.8500
1.013699 7925.00 542.7500
1.013699 8350.00 323.9500
1.323288 7950.00 679.6000
1.323288 8000.00 649.4000
1.323288 8200.00 539.9500
